Sample in Buffer,Sample in Window,TRIGGER,ACK_bit,SCL,SDA,led_OBUF[7:0],TrigerEvent,FSM_Clk,CURR_STATE[7:0],MSB_BYTE[7:0],LSB_BYTE[7:0],Final_Temp[15:0]
0,0,0,1,1,1,c0,1,1,0,00000000,00000000,0000
1,1,0,1,1,1,c0,1,0,0,00000000,00000000,0000
2,2,0,1,1,1,c0,1,1,0,00000000,00000000,0000
3,3,0,1,1,1,c0,1,0,0,00000000,00000000,0000
4,4,0,1,1,1,c0,1,1,0,00000000,00000000,0000
5,5,0,1,1,1,c0,1,0,0,00000000,00000000,0000
6,6,0,1,1,1,c0,1,1,0,00000000,00000000,0000
7,7,0,1,1,1,c0,1,0,0,00000000,00000000,0000
8,8,0,1,1,1,c0,1,1,0,00000000,00000000,0000
9,9,0,1,1,1,c0,1,0,0,00000000,00000000,0000
10,10,0,1,1,1,c0,1,1,0,00000000,00000000,0000
11,11,0,1,1,1,c0,1,0,0,00000000,00000000,0000
12,12,0,1,1,1,c0,1,1,0,00000000,00000000,0000
13,13,0,1,1,1,c0,1,0,0,00000000,00000000,0000
14,14,0,1,1,1,c0,1,1,0,00000000,00000000,0000
15,15,0,1,1,1,c0,1,0,0,00000000,00000000,0000
16,16,0,1,1,1,c0,1,1,0,00000000,00000000,0000
17,17,0,1,1,1,c0,1,0,0,00000000,00000000,0000
18,18,0,1,1,1,c0,1,1,0,00000000,00000000,0000
19,19,0,1,1,1,c0,1,0,0,00000000,00000000,0000
20,20,0,1,1,1,c0,1,1,0,00000000,00000000,0000
21,21,0,1,1,1,c0,1,0,0,00000000,00000000,0000
22,22,0,1,1,1,c0,1,1,0,00000000,00000000,0000
23,23,0,1,1,1,c0,1,0,0,00000000,00000000,0000
24,24,0,1,1,1,c0,1,1,0,00000000,00000000,0000
25,25,0,1,1,1,c0,1,0,0,00000000,00000000,0000
26,26,0,1,1,1,c0,1,1,0,00000000,00000000,0000
27,27,0,1,1,1,c0,1,0,0,00000000,00000000,0000
28,28,0,1,1,1,c0,1,1,0,00000000,00000000,0000
29,29,0,1,1,1,c0,1,0,0,00000000,00000000,0000
30,30,0,1,1,1,c0,1,1,0,00000000,00000000,0000
31,31,0,1,1,1,c0,1,0,0,00000000,00000000,0000
32,32,0,1,1,1,c0,1,1,0,00000000,00000000,0000
33,33,0,1,1,1,c0,1,0,0,00000000,00000000,0000
34,34,0,1,1,1,c0,1,1,0,00000000,00000000,0000
35,35,0,1,1,1,c0,1,0,0,00000000,00000000,0000
36,36,0,1,1,1,c0,1,1,0,00000000,00000000,0000
37,37,0,1,1,1,c0,1,0,0,00000000,00000000,0000
38,38,0,1,1,1,c0,1,1,0,00000000,00000000,0000
39,39,0,1,1,1,c0,1,0,0,00000000,00000000,0000
40,40,0,1,1,1,c0,1,1,0,00000000,00000000,0000
41,41,0,1,1,1,c0,1,0,0,00000000,00000000,0000
42,42,0,1,1,1,c0,1,1,0,00000000,00000000,0000
43,43,0,1,1,1,c0,1,0,0,00000000,00000000,0000
44,44,0,1,1,1,c0,1,1,0,00000000,00000000,0000
45,45,0,1,1,1,c0,1,0,0,00000000,00000000,0000
46,46,0,1,1,1,c0,1,1,0,00000000,00000000,0000
47,47,0,1,1,1,c0,1,0,0,00000000,00000000,0000
48,48,0,1,1,1,c0,1,1,0,00000000,00000000,0000
49,49,0,1,1,1,c0,1,0,0,00000000,00000000,0000
50,50,0,1,1,1,c0,1,1,0,00000000,00000000,0000
51,51,0,1,1,1,c0,1,0,0,00000000,00000000,0000
52,52,0,1,1,1,c0,1,1,0,00000000,00000000,0000
53,53,0,1,1,1,c0,1,0,0,00000000,00000000,0000
54,54,0,1,1,1,c0,1,1,0,00000000,00000000,0000
55,55,0,1,1,1,c0,1,0,0,00000000,00000000,0000
56,56,0,1,1,1,c0,1,1,0,00000000,00000000,0000
57,57,0,1,1,1,c0,1,0,0,00000000,00000000,0000
58,58,0,1,1,1,c0,1,1,0,00000000,00000000,0000
59,59,0,1,1,1,c0,1,0,0,00000000,00000000,0000
60,60,0,1,1,1,c0,1,1,0,00000000,00000000,0000
61,61,0,1,1,1,c0,1,0,0,00000000,00000000,0000
62,62,0,1,1,1,c0,1,1,0,00000000,00000000,0000
63,63,1,1,1,1,c0,0,1,0,00000000,00000000,0000
64,64,0,1,1,1,c0,0,0,0,00000000,00000000,0000
65,65,0,1,1,1,c0,0,1,1,00000000,00000000,0000
66,66,0,1,1,1,c0,0,0,1,00000000,00000000,0000
67,67,0,1,1,0,c0,0,1,2,00000000,00000000,0000
68,68,0,1,1,0,c0,0,0,2,00000000,00000000,0000
69,69,0,1,0,0,c0,0,1,3,00000000,00000000,0000
70,70,0,1,0,0,c0,0,0,3,00000000,00000000,0000
71,71,0,1,0,1,c0,0,1,4,00000000,00000000,0000
72,72,0,1,0,1,c0,0,0,4,00000000,00000000,0000
73,73,0,1,1,1,c0,0,1,5,00000000,00000000,0000
74,74,0,1,1,1,c0,0,0,5,00000000,00000000,0000
75,75,0,1,1,1,c0,0,1,6,00000000,00000000,0000
76,76,0,1,1,1,c0,0,0,6,00000000,00000000,0000
77,77,0,1,0,1,c0,0,1,7,00000000,00000000,0000
78,78,0,1,0,1,c0,0,0,7,00000000,00000000,0000
79,79,0,1,0,0,c0,0,1,8,00000000,00000000,0000
80,80,0,1,0,0,c0,0,0,8,00000000,00000000,0000
81,81,0,1,1,0,c0,0,1,9,00000000,00000000,0000
82,82,0,1,1,0,c0,0,0,9,00000000,00000000,0000
83,83,0,1,1,0,c0,0,1,10,00000000,00000000,0000
84,84,0,1,1,0,c0,0,0,10,00000000,00000000,0000
85,85,0,1,0,0,c0,0,1,11,00000000,00000000,0000
86,86,0,1,0,0,c0,0,0,11,00000000,00000000,0000
87,87,0,1,0,0,c0,0,1,12,00000000,00000000,0000
88,88,0,1,0,0,c0,0,0,12,00000000,00000000,0000
89,89,0,1,1,0,c0,0,1,13,00000000,00000000,0000
90,90,0,1,1,0,c0,0,0,13,00000000,00000000,0000
91,91,0,1,1,0,c0,0,1,14,00000000,00000000,0000
92,92,0,1,1,0,c0,0,0,14,00000000,00000000,0000
93,93,0,1,0,0,c0,0,1,15,00000000,00000000,0000
94,94,0,1,0,0,c0,0,0,15,00000000,00000000,0000
95,95,0,1,0,1,c0,0,1,16,00000000,00000000,0000
96,96,0,1,0,1,c0,0,0,16,00000000,00000000,0000
97,97,0,1,1,1,c0,0,1,17,00000000,00000000,0000
98,98,0,1,1,1,c0,0,0,17,00000000,00000000,0000
99,99,0,1,1,1,c0,0,1,18,00000000,00000000,0000
100,100,0,1,1,1,c0,0,0,18,00000000,00000000,0000
101,101,0,1,0,1,c0,0,1,19,00000000,00000000,0000
102,102,0,1,0,1,c0,0,0,19,00000000,00000000,0000
103,103,0,1,0,0,c0,0,1,20,00000000,00000000,0000
104,104,0,1,0,0,c0,0,0,20,00000000,00000000,0000
105,105,0,1,1,0,c0,0,1,21,00000000,00000000,0000
106,106,0,1,1,0,c0,0,0,21,00000000,00000000,0000
107,107,0,1,1,0,c0,0,1,22,00000000,00000000,0000
108,108,0,1,1,0,c0,0,0,22,00000000,00000000,0000
109,109,0,1,0,0,c0,0,1,23,00000000,00000000,0000
110,110,0,1,0,0,c0,0,0,23,00000000,00000000,0000
111,111,0,1,0,0,c0,0,1,24,00000000,00000000,0000
112,112,0,1,0,0,c0,0,0,24,00000000,00000000,0000
113,113,0,1,1,0,c0,0,1,25,00000000,00000000,0000
114,114,0,1,1,0,c0,0,0,25,00000000,00000000,0000
115,115,0,1,1,0,c0,0,1,26,00000000,00000000,0000
116,116,0,1,1,0,c0,0,0,26,00000000,00000000,0000
117,117,0,1,0,0,c0,0,1,27,00000000,00000000,0000
118,118,0,1,0,0,c0,0,0,27,00000000,00000000,0000
119,119,0,1,0,0,c0,0,1,28,00000000,00000000,0000
120,120,0,1,0,0,c0,0,0,28,00000000,00000000,0000
121,121,0,1,1,0,c0,0,1,29,00000000,00000000,0000
122,122,0,1,1,0,c0,0,0,29,00000000,00000000,0000
123,123,0,1,1,0,c0,0,1,30,00000000,00000000,0000
124,124,0,1,1,0,c0,0,0,30,00000000,00000000,0000
125,125,0,1,0,0,c0,0,1,31,00000000,00000000,0000
126,126,0,1,0,0,c0,0,0,31,00000000,00000000,0000
127,127,0,1,0,0,c0,0,1,32,00000000,00000000,0000
128,128,0,1,0,0,c0,0,0,32,00000000,00000000,0000
129,129,0,1,1,0,c0,0,1,33,00000000,00000000,0000
130,130,0,1,1,0,c0,0,0,33,00000000,00000000,0000
131,131,0,1,1,0,c0,0,1,34,00000000,00000000,0000
132,132,0,1,1,0,c0,0,0,34,00000000,00000000,0000
133,133,0,1,0,0,c0,0,1,35,00000000,00000000,0000
134,134,0,1,0,0,c0,0,0,35,00000000,00000000,0000
135,135,0,1,0,0,c0,0,1,36,00000000,00000000,0000
136,136,0,1,0,0,c0,0,0,36,00000000,00000000,0000
137,137,0,1,1,0,c0,0,1,37,00000000,00000000,0000
138,138,0,1,1,0,c0,0,0,37,00000000,00000000,0000
139,139,0,0,1,0,40,0,1,38,00000000,00000000,0000
140,140,0,0,1,0,40,0,0,38,00000000,00000000,0000
141,141,0,0,0,0,40,0,1,43,00000000,00000000,0000
142,142,0,0,0,1,40,0,0,43,00000000,00000000,0000
143,143,0,0,0,0,40,0,1,44,00000000,00000000,0000
144,144,0,0,0,0,40,0,0,44,00000000,00000000,0000
145,145,0,0,1,0,40,0,1,45,00000000,00000000,0000
146,146,0,0,1,0,40,0,0,45,00000000,00000000,0000
147,147,0,0,1,0,40,0,1,46,00000000,00000000,0000
148,148,0,0,1,0,40,0,0,46,00000000,00000000,0000
149,149,0,0,0,0,40,0,1,47,00000000,00000000,0000
150,150,0,0,0,0,40,0,0,47,00000000,00000000,0000
151,151,0,0,0,0,40,0,1,48,00000000,00000000,0000
152,152,0,0,0,0,40,0,0,48,00000000,00000000,0000
153,153,0,0,1,0,40,0,1,49,00000000,00000000,0000
154,154,0,0,1,0,40,0,0,49,00000000,00000000,0000
155,155,0,0,1,0,40,0,1,50,00000000,00000000,0000
156,156,0,0,1,0,40,0,0,50,00000000,00000000,0000
157,157,0,0,0,0,40,0,1,51,00000000,00000000,0000
158,158,0,0,0,0,40,0,0,51,00000000,00000000,0000
159,159,0,0,0,0,40,0,1,52,00000000,00000000,0000
160,160,0,0,0,0,40,0,0,52,00000000,00000000,0000
161,161,0,0,1,0,40,0,1,53,00000000,00000000,0000
162,162,0,0,1,0,40,0,0,53,00000000,00000000,0000
163,163,0,0,1,0,40,0,1,54,00000000,00000000,0000
164,164,0,0,1,0,40,0,0,54,00000000,00000000,0000
165,165,0,0,0,0,40,0,1,55,00000000,00000000,0000
166,166,0,0,0,0,40,0,0,55,00000000,00000000,0000
167,167,0,0,0,0,40,0,1,56,00000000,00000000,0000
168,168,0,0,0,0,40,0,0,56,00000000,00000000,0000
169,169,0,0,1,0,40,0,1,57,00000000,00000000,0000
170,170,0,0,1,0,40,0,0,57,00000000,00000000,0000
171,171,0,0,1,0,40,0,1,58,00000000,00000000,0000
172,172,0,0,1,0,40,0,0,58,00000000,00000000,0000
173,173,0,0,0,0,40,0,1,63,00000000,00000000,0000
174,174,0,0,0,0,40,0,0,63,00000000,00000000,0000
175,175,0,0,0,0,40,0,1,64,00000000,00000000,0000
176,176,0,0,0,0,40,0,0,64,00000000,00000000,0000
177,177,0,0,1,0,40,0,1,65,00000000,00000000,0000
178,178,0,0,1,0,40,0,0,65,00000000,00000000,0000
179,179,0,0,1,0,40,0,1,66,00000000,00000000,0000
180,180,0,0,1,0,40,0,0,66,00000000,00000000,0000
181,181,0,0,0,0,40,0,1,67,00000000,00000000,0000
182,182,0,0,0,0,40,0,0,67,00000000,00000000,0000
183,183,0,0,0,0,40,0,1,68,00000000,00000000,0000
184,184,0,0,0,0,40,0,0,68,00000000,00000000,0000
185,185,0,0,1,0,40,0,1,69,00000000,00000000,0000
186,186,0,0,1,0,40,0,0,69,00000000,00000000,0000
187,187,0,0,1,0,40,0,1,70,00000000,00000000,0000
188,188,0,0,1,0,40,0,0,70,00000000,00000000,0000
189,189,0,0,0,0,40,0,1,71,00000000,00000000,0000
190,190,0,0,0,0,40,0,0,71,00000000,00000000,0000
191,191,0,0,0,0,40,0,1,72,00000000,00000000,0000
192,192,0,0,0,0,40,0,0,72,00000000,00000000,0000
193,193,0,0,1,0,40,0,1,73,00000000,00000000,0000
194,194,0,0,1,0,40,0,0,73,00000000,00000000,0000
195,195,0,0,1,0,40,0,1,74,00000000,00000000,0000
196,196,0,0,1,0,40,0,0,74,00000000,00000000,0000
197,197,0,0,0,0,40,0,1,75,00000000,00000000,0000
198,198,0,0,0,0,40,0,0,75,00000000,00000000,0000
199,199,0,0,0,0,40,0,1,76,00000000,00000000,0000
200,200,0,0,0,0,40,0,0,76,00000000,00000000,0000
201,201,0,0,1,0,40,0,1,77,00000000,00000000,0000
202,202,0,0,1,0,40,0,0,77,00000000,00000000,0000
203,203,0,0,1,0,40,0,1,78,00000000,00000000,0000
204,204,0,0,1,0,40,0,0,78,00000000,00000000,0000
205,205,0,0,0,0,40,0,1,79,00000000,00000000,0000
206,206,0,0,0,0,40,0,0,79,00000000,00000000,0000
207,207,0,0,0,0,40,0,1,80,00000000,00000000,0000
208,208,0,0,0,0,40,0,0,80,00000000,00000000,0000
209,209,0,0,1,0,40,0,1,81,00000000,00000000,0000
210,210,0,0,1,0,40,0,0,81,00000000,00000000,0000
211,211,0,0,1,0,40,0,1,82,00000000,00000000,0000
212,212,0,0,1,0,40,0,0,82,00000000,00000000,0000
213,213,0,0,0,0,40,0,1,83,00000000,00000000,0000
214,214,0,0,0,1,40,0,0,83,00000000,00000000,0000
215,215,0,0,0,1,40,0,1,87,00000000,00000000,0000
216,216,0,0,0,1,40,0,0,87,00000000,00000000,0000
217,217,0,0,1,1,40,0,1,1,00000000,00000000,0000
218,218,0,0,1,1,40,0,0,1,00000000,00000000,0000
219,219,0,0,1,0,40,0,1,2,00000000,00000000,0000
220,220,0,0,1,0,40,0,0,2,00000000,00000000,0000
221,221,0,0,0,0,40,0,1,3,00000000,00000000,0000
222,222,0,0,0,0,40,0,0,3,00000000,00000000,0000
223,223,0,0,0,1,40,0,1,4,00000000,00000000,0000
224,224,0,0,0,1,40,0,0,4,00000000,00000000,0000
225,225,0,0,1,1,40,0,1,5,00000000,00000000,0000
226,226,0,0,1,1,40,0,0,5,00000000,00000000,0000
227,227,0,0,1,1,40,0,1,6,00000000,00000000,0000
228,228,0,0,1,1,40,0,0,6,00000000,00000000,0000
229,229,0,0,0,1,40,0,1,7,00000000,00000000,0000
230,230,0,0,0,1,40,0,0,7,00000000,00000000,0000
